"variable","label","description","source","source2"
"leaid","Local education agency identification number (NCES)","","Common Core of Data",""
"lea_name","Local education agency name","Name of the local education agency (school district)","Common Core of Data",""
"city_location","City of location","","Common Core of Data",""
"zip_location","Zip code of location","","Common Core of Data",""
"latitude","Latitude of institution","","Common Core of Data",""
"longitude","Longitude of institution","","Common Core of Data",""
"county_name","County name","","Common Core of Data",""
"agency_type","Agency type","","Common Core of Data",""
"enrollment","Student enrollment","","Common Core of Data",""
"est_population_5_17_poverty","Estimated population ages 5-17 in poverty","","Small Area Income and Poverty Estimates",""
"est_population_5_17_poverty_pct","Share of school-age population (ages 5-17) in poverty","","Small Area Income and Poverty Estimates",""
"race","Race and ethnicity","There are variations in the way race is defined across years and files. Common Core of Data: The Common Core of Data used five racial categories through 2007 and has used seven categories since 2008. Civil Rights Data Collection: In the Civil Rights Data Collection, the race variable is consistently defined throughout all years. Integrated Postsecondary Education Data System: Before 2007, the Integrated Postsecondary Education Data System (IPEDS) used only the ""old"" racial or ethnic categories, and after 2009, IPEDS used only the ""new"" racial or ethnic categories. In IPEDS between 2007 and 2009, institutions could use the old categories, the new categories, or a mix of both to report completions data. The six old categories were  American Indian or Alaska Native; Asian or Pacific Islander; black, non-Hispanic; Hispanic; white, non-Hispanic; and nonresident alien. The eight new categories were American Indian or Alaska Native, Asian, black or African American, Hispanic or Latino, Native Hawaiian or Pacific Islander, white, two or more races, and nonresident alien. For these years, we used the IPEDS-derived options for the following instances: Asian/Native Hawaiian/Other Pacific Islander; American Indian or Alaska Native; Hispanic or Latino/Hispanic; black or African American/black, non-Hispanic; and white/white, non-Hispanic. Other options were left as is.","EDFacts",""
"read_test_pct_prof_midpt","Midpoint of the range used to report the share of students scoring proficient on a reading or language arts assessment (0-100 scale)","","EDFacts",""
"math_test_pct_prof_midpt","Midpoint of the range used to report the share of students scoring proficient on a mathematics assessment (0-100 scale)","","EDFacts",""
"rev_total","Total revenue","The sum of revenue contributions emerging from local, state, and federal sources. ","Common Core of Data",""
"salaries_total","Total salary amount","","Common Core of Data",""
