"year","leaid","lea_name","state_name","city_location","zip_location","latitude","longitude","county_name","agency_type","enrollment","est_population_5_17_poverty","est_population_5_17_poverty_pct","read_test_pct_prof_midpt","math_test_pct_prof_midpt","rev_total","salaries_total"
"2015","5300001","Enumclaw School District","Washington","ENUMCLAW","98022","47.188196","-122.00657","King County","Regular local school district","4078","441","0.091399","69","57","54305000","28408000"
"2015","5300002","Inchelium School District","Washington","INCHELIUM","99138","48.301363","-118.198168","Ferry County","Regular local school district","213","68","0.34","32","32","5078000","2045000"
"2015","5300003","Kelso School District","Washington","KELSO","98626","46.147476","-122.905933","Cowlitz County","Regular local school district","5018","1015","0.192162","59","40","58723000","31822000"
"2015","5300004","North Central Educational Service District 171","Washington","WENATCHEE","98801","47.46326","-120.327261","Chelan County","Regional education service agency","","","","","","14601000","6302000"
"2015","5300005","Educational Service District 112","Washington","VANCOUVER","98661","45.63909","-122.605811","Clark County","Regional education service agency","147","","","95","Suppressed data","57437000","24495000"
"2015","5300006","Puget Sound Educational Service District 121","Washington","Renton","98057","47.47258","-122.234511","King County","Regional education service agency","","","","","","103269000","23268000"
"2015","5300007","Olympic Educational Service District 114","Washington","BREMERTON","98312","47.5637","-122.6678","Kitsap County","Regional education service agency","26","","","75","Suppressed data","17573000","7831000"
"2015","5300008","Northwest Educational Service District 189","Washington","ANACORTES","98221","48.5098","-122.6089","Skagit County","Regional education service agency","17","","","75","Suppressed data","20714000","10723000"
"2015","5300010","Educational Service District 101","Washington","Spokane","99223","47.6157","-117.3686","Spokane County","Regional education service agency","92","","","90","Suppressed data","18651000","8387000"
"2015","5300011","Educational Service District 113","Washington","TUMWATER","98512","46.99431","-122.917321","Thurston County","Regional education service agency","368","","","95","Suppressed data","31605000","15194000"
"2015","5300012","Educational Service District 123","Washington","PASCO","99301","46.2415","-119.1425","Franklin County","Regional education service agency","0","","","","","12088000","5050000"
"2015","5300013","Educational Service District 105","Washington","YAKIMA","98902","46.6002","-120.5106","Yakima County","Regional education service agency","","","","","","23709000","5597000"
"2015","5300014","Bates Technical College","Washington","Tacoma","98405","47.251928","-122.446876","Pierce County","Other education agency","298","","","75","","Missing/not reported","Missing/not reported"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","VANCOUVER","98661","45.625343","-122.639837","Clark County","Regular local school district","74","","","5","5","Not applicable","Not applicable"
"2015","5300016","Centralia College","Washington","CENTRALIA","98531","46.716495","-122.960726","Lewis County","Other education agency","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300017","Clover Park Technical College","Washington","LAKEWOOD","98499","47.175797","-122.4971","Pierce County","Other education agency","233","","","90","Suppressed data","Missing/not reported","Missing/not reported"
"2015","5300030","Aberdeen School District","Washington","ABERDEEN","98520","46.9783","-123.8167","Grays Harbor County","Regular local school district","3288","859","0.26181","51","39","45467000","23179000"
"2015","5300060","Adna School District","Washington","ADNA","98522","46.634471","-123.061477","Lewis County","Regular local school district","631","133","0.175462","60","45","7207000","3352000"
"2015","5300090","Almira School District","Washington","ALMIRA","99103","47.707336","-118.941202","Lincoln County","Regular local school district","109","14","0.159091","77","77","2390000","1072000"
"2015","5300150","Anacortes School District","Washington","ANACORTES","98221","48.50445","-122.617472","Skagit County","Regular local school district","2791","336","0.124398","74","63","36762000","19137000"
"2015","5300240","Arlington School District","Washington","ARLINGTON","98223","48.195732","-122.122049","Snohomish County","Regular local school district","5559","582","0.099487","69","53","67381000","38196000"
"2015","5300280","Asotin-Anatone School District","Washington","ASOTIN","99402","46.340569","-117.047924","Asotin County","Regular local school district","654","101","0.181004","66","56","7869000","4396000"
"2015","5300300","Auburn School District","Washington","AUBURN","98002","47.3111","-122.2172","King County","Regular local school district","15846","2693","0.162886","61","52","224434000","117634000"
"2015","5300313","Lake Washington Institute of Technology","Washington","KIRKLAND","98034","47.70305","-122.164941","King County","Other education agency","300","","","95","","Missing/not reported","Missing/not reported"
"2015","5300314","Everett Community College","Washington","EVERETT","98201","48.00665","-122.203321","Snohomish County","Other education agency","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","VANCOUVER","98661","45.63124","-122.648151","Clark County","Regular local school district","42","","","24.5","24.5","Missing/not reported","Missing/not reported"
"2015","5300320","University of Washington (17904)","Washington","seattle","98195","47.6565","-122.312781","King County","Other education agency","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300321","South Seattle Community College (CC Dist #6)","Washington","SEATTLE","98106","47.54723","-122.351921","King County","Other education agency","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300322","Community Colleges of Spokane","Washington","SPOKANE","99217","47.6622","-117.4081","Spokane County","Regular local school district","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300323","Seattle Central Community College","Washington","SEATTLE","98122","47.61689","-122.321351","King County","Other education agency","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300324","Washington Military Department","Washington","Bremerton","98312","47.55338","-122.681811","Kitsap County","Other education agency","156","","","75","Suppressed data","Missing/not reported","Missing/not reported"
"2015","5300325","Renton Technical College","Washington","RENTON","98056","47.48915","-122.177321","King County","Other education agency","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300326","Green River Community College","Washington","AUBURN","98002","47.3135","-122.1791","King County","Other education agency","0","","","","","Missing/not reported","Missing/not reported"
"2015","5300327","MUCKLESHOOT INDIAN TRIBE","Washington","AUBURN","98092","47.253033","-122.113714","King County","Regular local school district","","","","","","3080000","2219000"
"2015","5300328","Suquamish Tribal Education Department","Washington","Poulsbo","98370","47.708795","-122.581479","Kitsap County","Regular local school district","79","","","24.5","5","1741000","1053000"
"2015","5300329","Lummi Tribal Agency","Washington","Bellingham","98226","48.726142","-122.659082","Whatcom County","Regular local school district","","","","","","2978000","2145000"
"2015","5300330","Bainbridge Island School District","Washington","BAINBRIDGE ISLAND","98110","47.638748","-122.52176","Kitsap County","Regular local school district","3921","216","0.050764","85","80","53294000","27175000"
"2015","5300331","First Place Scholars Charter School District","Washington","Seattle","98122","47.6033","-122.305961","King County","Charter agency","106","","","","","Missing/not reported","Missing/not reported"
"2015","5300332","Excel Public Charter School LEA","Washington","Kent","98031","47.42894","-122.195441","King County","Charter agency","136","","","","","Missing/not reported","Missing/not reported"
