"year","leaid","lea_name","state_name","race","enrollment"
"2015","5300001","Enumclaw School District","Washington","White","3199"
"2015","5300001","Enumclaw School District","Washington","Black","31"
"2015","5300001","Enumclaw School District","Washington","Hispanic","595"
"2015","5300001","Enumclaw School District","Washington","Asian","24"
"2015","5300001","Enumclaw School District","Washington","American Indian or Alaska Native","53"
"2015","5300001","Enumclaw School District","Washington","Native Hawaiian or other Pacific Islander","16"
"2015","5300001","Enumclaw School District","Washington","Two or more races","160"
"2015","5300001","Enumclaw School District","Washington","Total","4078"
"2015","5300002","Inchelium School District","Washington","White","7"
"2015","5300002","Inchelium School District","Washington","Black","0"
"2015","5300002","Inchelium School District","Washington","Hispanic","2"
"2015","5300002","Inchelium School District","Washington","Asian","2"
"2015","5300002","Inchelium School District","Washington","American Indian or Alaska Native","168"
"2015","5300002","Inchelium School District","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300002","Inchelium School District","Washington","Two or more races","34"
"2015","5300002","Inchelium School District","Washington","Total","213"
"2015","5300003","Kelso School District","Washington","White","3673"
"2015","5300003","Kelso School District","Washington","Black","18"
"2015","5300003","Kelso School District","Washington","Hispanic","831"
"2015","5300003","Kelso School District","Washington","Asian","51"
"2015","5300003","Kelso School District","Washington","American Indian or Alaska Native","69"
"2015","5300003","Kelso School District","Washington","Native Hawaiian or other Pacific Islander","47"
"2015","5300003","Kelso School District","Washington","Two or more races","329"
"2015","5300003","Kelso School District","Washington","Total","5018"
"2015","5300005","Educational Service District 112","Washington","White","99"
"2015","5300005","Educational Service District 112","Washington","Black","7"
"2015","5300005","Educational Service District 112","Washington","Hispanic","31"
"2015","5300005","Educational Service District 112","Washington","Asian","0"
"2015","5300005","Educational Service District 112","Washington","American Indian or Alaska Native","2"
"2015","5300005","Educational Service District 112","Washington","Native Hawaiian or other Pacific Islander","2"
"2015","5300005","Educational Service District 112","Washington","Two or more races","6"
"2015","5300005","Educational Service District 112","Washington","Total","147"
"2015","5300007","Olympic Educational Service District 114","Washington","White","13"
"2015","5300007","Olympic Educational Service District 114","Washington","Black","0"
"2015","5300007","Olympic Educational Service District 114","Washington","Hispanic","6"
"2015","5300007","Olympic Educational Service District 114","Washington","Asian","0"
"2015","5300007","Olympic Educational Service District 114","Washington","American Indian or Alaska Native","3"
"2015","5300007","Olympic Educational Service District 114","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300007","Olympic Educational Service District 114","Washington","Two or more races","4"
"2015","5300007","Olympic Educational Service District 114","Washington","Total","26"
"2015","5300008","Northwest Educational Service District 189","Washington","White","10"
"2015","5300008","Northwest Educational Service District 189","Washington","Black","1"
"2015","5300008","Northwest Educational Service District 189","Washington","Hispanic","5"
"2015","5300008","Northwest Educational Service District 189","Washington","Asian","0"
"2015","5300008","Northwest Educational Service District 189","Washington","American Indian or Alaska Native","1"
"2015","5300008","Northwest Educational Service District 189","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300008","Northwest Educational Service District 189","Washington","Two or more races","0"
"2015","5300008","Northwest Educational Service District 189","Washington","Total","17"
"2015","5300010","Educational Service District 101","Washington","White","60"
"2015","5300010","Educational Service District 101","Washington","Black","10"
"2015","5300010","Educational Service District 101","Washington","Hispanic","9"
"2015","5300010","Educational Service District 101","Washington","Asian","0"
"2015","5300010","Educational Service District 101","Washington","American Indian or Alaska Native","11"
"2015","5300010","Educational Service District 101","Washington","Native Hawaiian or other Pacific Islander","2"
"2015","5300010","Educational Service District 101","Washington","Two or more races","0"
"2015","5300010","Educational Service District 101","Washington","Total","92"
"2015","5300011","Educational Service District 113","Washington","White","273"
"2015","5300011","Educational Service District 113","Washington","Black","13"
"2015","5300011","Educational Service District 113","Washington","Hispanic","35"
"2015","5300011","Educational Service District 113","Washington","Asian","7"
"2015","5300011","Educational Service District 113","Washington","American Indian or Alaska Native","38"
"2015","5300011","Educational Service District 113","Washington","Native Hawaiian or other Pacific Islander","2"
"2015","5300011","Educational Service District 113","Washington","Two or more races","0"
"2015","5300011","Educational Service District 113","Washington","Total","368"
"2015","5300014","Bates Technical College","Washington","White","199"
"2015","5300014","Bates Technical College","Washington","Black","32"
"2015","5300014","Bates Technical College","Washington","Hispanic","34"
"2015","5300014","Bates Technical College","Washington","Asian","7"
"2015","5300014","Bates Technical College","Washington","American Indian or Alaska Native","4"
"2015","5300014","Bates Technical College","Washington","Native Hawaiian or other Pacific Islander","8"
"2015","5300014","Bates Technical College","Washington","Two or more races","14"
"2015","5300014","Bates Technical College","Washington","Total","298"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","White","36"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","Black","5"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","Hispanic","18"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","Asian","7"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","American Indian or Alaska Native","7"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","Two or more races","1"
"2015","5300015","WA State Center for Childhood Deafness and Hearing Loss","Washington","Total","74"
"2015","5300017","Clover Park Technical College","Washington","White","102"
"2015","5300017","Clover Park Technical College","Washington","Black","27"
"2015","5300017","Clover Park Technical College","Washington","Hispanic","57"
"2015","5300017","Clover Park Technical College","Washington","Asian","7"
"2015","5300017","Clover Park Technical College","Washington","American Indian or Alaska Native","3"
"2015","5300017","Clover Park Technical College","Washington","Native Hawaiian or other Pacific Islander","6"
"2015","5300017","Clover Park Technical College","Washington","Two or more races","31"
"2015","5300017","Clover Park Technical College","Washington","Total","233"
"2015","5300030","Aberdeen School District","Washington","White","1838"
"2015","5300030","Aberdeen School District","Washington","Black","39"
"2015","5300030","Aberdeen School District","Washington","Hispanic","1015"
"2015","5300030","Aberdeen School District","Washington","Asian","79"
"2015","5300030","Aberdeen School District","Washington","American Indian or Alaska Native","127"
"2015","5300030","Aberdeen School District","Washington","Native Hawaiian or other Pacific Islander","10"
"2015","5300030","Aberdeen School District","Washington","Two or more races","180"
"2015","5300030","Aberdeen School District","Washington","Total","3288"
"2015","5300060","Adna School District","Washington","White","564"
"2015","5300060","Adna School District","Washington","Black","2"
"2015","5300060","Adna School District","Washington","Hispanic","41"
"2015","5300060","Adna School District","Washington","Asian","4"
"2015","5300060","Adna School District","Washington","American Indian or Alaska Native","4"
"2015","5300060","Adna School District","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300060","Adna School District","Washington","Two or more races","16"
"2015","5300060","Adna School District","Washington","Total","631"
"2015","5300090","Almira School District","Washington","White","96"
"2015","5300090","Almira School District","Washington","Black","0"
"2015","5300090","Almira School District","Washington","Hispanic","9"
"2015","5300090","Almira School District","Washington","Asian","0"
"2015","5300090","Almira School District","Washington","American Indian or Alaska Native","0"
"2015","5300090","Almira School District","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300090","Almira School District","Washington","Two or more races","4"
"2015","5300090","Almira School District","Washington","Total","109"
"2015","5300150","Anacortes School District","Washington","White","2285"
"2015","5300150","Anacortes School District","Washington","Black","36"
"2015","5300150","Anacortes School District","Washington","Hispanic","288"
"2015","5300150","Anacortes School District","Washington","Asian","93"
"2015","5300150","Anacortes School District","Washington","American Indian or Alaska Native","23"
"2015","5300150","Anacortes School District","Washington","Native Hawaiian or other Pacific Islander","5"
"2015","5300150","Anacortes School District","Washington","Two or more races","61"
"2015","5300150","Anacortes School District","Washington","Total","2791"
"2015","5300240","Arlington School District","Washington","White","4314"
"2015","5300240","Arlington School District","Washington","Black","57"
"2015","5300240","Arlington School District","Washington","Hispanic","707"
"2015","5300240","Arlington School District","Washington","Asian","87"
"2015","5300240","Arlington School District","Washington","American Indian or Alaska Native","63"
"2015","5300240","Arlington School District","Washington","Native Hawaiian or other Pacific Islander","24"
"2015","5300240","Arlington School District","Washington","Two or more races","307"
"2015","5300240","Arlington School District","Washington","Total","5559"
"2015","5300280","Asotin-Anatone School District","Washington","White","571"
"2015","5300280","Asotin-Anatone School District","Washington","Black","1"
"2015","5300280","Asotin-Anatone School District","Washington","Hispanic","39"
"2015","5300280","Asotin-Anatone School District","Washington","Asian","5"
"2015","5300280","Asotin-Anatone School District","Washington","American Indian or Alaska Native","4"
"2015","5300280","Asotin-Anatone School District","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300280","Asotin-Anatone School District","Washington","Two or more races","34"
"2015","5300280","Asotin-Anatone School District","Washington","Total","654"
"2015","5300300","Auburn School District","Washington","White","6881"
"2015","5300300","Auburn School District","Washington","Black","1093"
"2015","5300300","Auburn School District","Washington","Hispanic","4355"
"2015","5300300","Auburn School District","Washington","Asian","1255"
"2015","5300300","Auburn School District","Washington","American Indian or Alaska Native","215"
"2015","5300300","Auburn School District","Washington","Native Hawaiian or other Pacific Islander","540"
"2015","5300300","Auburn School District","Washington","Two or more races","1507"
"2015","5300300","Auburn School District","Washington","Total","15846"
"2015","5300313","Lake Washington Institute of Technology","Washington","White","213"
"2015","5300313","Lake Washington Institute of Technology","Washington","Black","9"
"2015","5300313","Lake Washington Institute of Technology","Washington","Hispanic","45"
"2015","5300313","Lake Washington Institute of Technology","Washington","Asian","11"
"2015","5300313","Lake Washington Institute of Technology","Washington","American Indian or Alaska Native","2"
"2015","5300313","Lake Washington Institute of Technology","Washington","Native Hawaiian or other Pacific Islander","4"
"2015","5300313","Lake Washington Institute of Technology","Washington","Two or more races","16"
"2015","5300313","Lake Washington Institute of Technology","Washington","Total","300"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","White","27"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","Black","0"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","Hispanic","11"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","Asian","0"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","American Indian or Alaska Native","1"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","Native Hawaiian or other Pacific Islander","2"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","Two or more races","1"
"2015","5300318","Office of the Governor (Sch for Blind)","Washington","Total","42"
"2015","5300324","Washington Military Department","Washington","White","43"
"2015","5300324","Washington Military Department","Washington","Black","18"
"2015","5300324","Washington Military Department","Washington","Hispanic","73"
"2015","5300324","Washington Military Department","Washington","Asian","1"
"2015","5300324","Washington Military Department","Washington","American Indian or Alaska Native","2"
"2015","5300324","Washington Military Department","Washington","Native Hawaiian or other Pacific Islander","3"
"2015","5300324","Washington Military Department","Washington","Two or more races","16"
"2015","5300324","Washington Military Department","Washington","Total","156"
"2015","5300328","Suquamish Tribal Education Department","Washington","White","7"
"2015","5300328","Suquamish Tribal Education Department","Washington","Black","2"
"2015","5300328","Suquamish Tribal Education Department","Washington","Hispanic","13"
"2015","5300328","Suquamish Tribal Education Department","Washington","Asian","0"
"2015","5300328","Suquamish Tribal Education Department","Washington","American Indian or Alaska Native","29"
"2015","5300328","Suquamish Tribal Education Department","Washington","Native Hawaiian or other Pacific Islander","1"
"2015","5300328","Suquamish Tribal Education Department","Washington","Two or more races","27"
"2015","5300328","Suquamish Tribal Education Department","Washington","Total","79"
"2015","5300330","Bainbridge Island School District","Washington","White","3135"
"2015","5300330","Bainbridge Island School District","Washington","Black","22"
"2015","5300330","Bainbridge Island School District","Washington","Hispanic","263"
"2015","5300330","Bainbridge Island School District","Washington","Asian","139"
"2015","5300330","Bainbridge Island School District","Washington","American Indian or Alaska Native","21"
"2015","5300330","Bainbridge Island School District","Washington","Native Hawaiian or other Pacific Islander","5"
"2015","5300330","Bainbridge Island School District","Washington","Two or more races","336"
"2015","5300330","Bainbridge Island School District","Washington","Total","3921"
"2015","5300331","First Place Scholars Charter School District","Washington","White","4"
"2015","5300331","First Place Scholars Charter School District","Washington","Black","63"
"2015","5300331","First Place Scholars Charter School District","Washington","Hispanic","20"
"2015","5300331","First Place Scholars Charter School District","Washington","Asian","1"
"2015","5300331","First Place Scholars Charter School District","Washington","American Indian or Alaska Native","0"
"2015","5300331","First Place Scholars Charter School District","Washington","Native Hawaiian or other Pacific Islander","6"
"2015","5300331","First Place Scholars Charter School District","Washington","Two or more races","12"
"2015","5300331","First Place Scholars Charter School District","Washington","Total","106"
"2015","5300332","Excel Public Charter School LEA","Washington","White","56"
"2015","5300332","Excel Public Charter School LEA","Washington","Black","50"
"2015","5300332","Excel Public Charter School LEA","Washington","Hispanic","3"
"2015","5300332","Excel Public Charter School LEA","Washington","Asian","13"
"2015","5300332","Excel Public Charter School LEA","Washington","American Indian or Alaska Native","0"
"2015","5300332","Excel Public Charter School LEA","Washington","Native Hawaiian or other Pacific Islander","2"
"2015","5300332","Excel Public Charter School LEA","Washington","Two or more races","12"
"2015","5300332","Excel Public Charter School LEA","Washington","Total","136"
"2015","5300333","Summit Public School: Olympus","Washington","White","21"
"2015","5300333","Summit Public School: Olympus","Washington","Black","19"
"2015","5300333","Summit Public School: Olympus","Washington","Hispanic","48"
"2015","5300333","Summit Public School: Olympus","Washington","Asian","1"
"2015","5300333","Summit Public School: Olympus","Washington","American Indian or Alaska Native","0"
"2015","5300333","Summit Public School: Olympus","Washington","Native Hawaiian or other Pacific Islander","1"
"2015","5300333","Summit Public School: Olympus","Washington","Two or more races","13"
"2015","5300333","Summit Public School: Olympus","Washington","Total","103"
"2015","5300334","Summit Public School: Sierra","Washington","White","25"
"2015","5300334","Summit Public School: Sierra","Washington","Black","40"
"2015","5300334","Summit Public School: Sierra","Washington","Hispanic","13"
"2015","5300334","Summit Public School: Sierra","Washington","Asian","23"
"2015","5300334","Summit Public School: Sierra","Washington","American Indian or Alaska Native","0"
"2015","5300334","Summit Public School: Sierra","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300334","Summit Public School: Sierra","Washington","Two or more races","10"
"2015","5300334","Summit Public School: Sierra","Washington","Total","111"
"2015","5300335","Rainier Prep Charter School District","Washington","White","12"
"2015","5300335","Rainier Prep Charter School District","Washington","Black","45"
"2015","5300335","Rainier Prep Charter School District","Washington","Hispanic","64"
"2015","5300335","Rainier Prep Charter School District","Washington","Asian","21"
"2015","5300335","Rainier Prep Charter School District","Washington","American Indian or Alaska Native","2"
"2015","5300335","Rainier Prep Charter School District","Washington","Native Hawaiian or other Pacific Islander","5"
"2015","5300335","Rainier Prep Charter School District","Washington","Two or more races","17"
"2015","5300335","Rainier Prep Charter School District","Washington","Total","166"
"2015","5300336","SOAR Academy Charter District","Washington","White","14"
"2015","5300336","SOAR Academy Charter District","Washington","Black","21"
"2015","5300336","SOAR Academy Charter District","Washington","Hispanic","16"
"2015","5300336","SOAR Academy Charter District","Washington","Asian","1"
"2015","5300336","SOAR Academy Charter District","Washington","American Indian or Alaska Native","1"
"2015","5300336","SOAR Academy Charter District","Washington","Native Hawaiian or other Pacific Islander","4"
"2015","5300336","SOAR Academy Charter District","Washington","Two or more races","27"
"2015","5300336","SOAR Academy Charter District","Washington","Total","84"
"2015","5300337","Spokane International Academy","Washington","White","112"
"2015","5300337","Spokane International Academy","Washington","Black","6"
"2015","5300337","Spokane International Academy","Washington","Hispanic","21"
"2015","5300337","Spokane International Academy","Washington","Asian","5"
"2015","5300337","Spokane International Academy","Washington","American Indian or Alaska Native","1"
"2015","5300337","Spokane International Academy","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300337","Spokane International Academy","Washington","Two or more races","10"
"2015","5300337","Spokane International Academy","Washington","Total","155"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","White","45"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","Black","59"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","Hispanic","59"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","Asian","5"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","American Indian or Alaska Native","6"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","Native Hawaiian or other Pacific Islander","3"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","Two or more races","33"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","Total","210"
"2015","5300339","PRIDE Prep Charter School District","Washington","White","116"
"2015","5300339","PRIDE Prep Charter School District","Washington","Black","7"
"2015","5300339","PRIDE Prep Charter School District","Washington","Hispanic","8"
"2015","5300339","PRIDE Prep Charter School District","Washington","Asian","1"
"2015","5300339","PRIDE Prep Charter School District","Washington","American Indian or Alaska Native","5"
"2015","5300339","PRIDE Prep Charter School District","Washington","Native Hawaiian or other Pacific Islander","1"
"2015","5300339","PRIDE Prep Charter School District","Washington","Two or more races","16"
"2015","5300339","PRIDE Prep Charter School District","Washington","Total","154"
"2015","5300380","Battle Ground School District","Washington","White","11355"
"2015","5300380","Battle Ground School District","Washington","Black","80"
"2015","5300380","Battle Ground School District","Washington","Hispanic","1140"
"2015","5300380","Battle Ground School District","Washington","Asian","281"
"2015","5300380","Battle Ground School District","Washington","American Indian or Alaska Native","28"
"2015","5300380","Battle Ground School District","Washington","Native Hawaiian or other Pacific Islander","48"
"2015","5300380","Battle Ground School District","Washington","Two or more races","639"
"2015","5300380","Battle Ground School District","Washington","Total","13571"
"2015","5300390","Bellevue School District","Washington","White","8046"
"2015","5300390","Bellevue School District","Washington","Black","535"
"2015","5300390","Bellevue School District","Washington","Hispanic","2377"
"2015","5300390","Bellevue School District","Washington","Asian","7208"
"2015","5300390","Bellevue School District","Washington","American Indian or Alaska Native","25"
"2015","5300390","Bellevue School District","Washington","Native Hawaiian or other Pacific Islander","48"
"2015","5300390","Bellevue School District","Washington","Two or more races","1808"
"2015","5300390","Bellevue School District","Washington","Total","20047"
"2015","5300420","Bellingham School District","Washington","White","7703"
"2015","5300420","Bellingham School District","Washington","Black","169"
"2015","5300420","Bellingham School District","Washington","Hispanic","1795"
"2015","5300420","Bellingham School District","Washington","Asian","635"
"2015","5300420","Bellingham School District","Washington","American Indian or Alaska Native","128"
"2015","5300420","Bellingham School District","Washington","Native Hawaiian or other Pacific Islander","43"
"2015","5300420","Bellingham School District","Washington","Two or more races","839"
"2015","5300420","Bellingham School District","Washington","Total","11312"
"2015","5300450","Benge School District","Washington","White","13"
"2015","5300450","Benge School District","Washington","Black","0"
"2015","5300450","Benge School District","Washington","Hispanic","0"
"2015","5300450","Benge School District","Washington","Asian","0"
"2015","5300450","Benge School District","Washington","American Indian or Alaska Native","0"
"2015","5300450","Benge School District","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300450","Benge School District","Washington","Two or more races","0"
"2015","5300450","Benge School District","Washington","Total","13"
"2015","5300480","Bethel School District","Washington","White","10859"
"2015","5300480","Bethel School District","Washington","Black","1496"
"2015","5300480","Bethel School District","Washington","Hispanic","2988"
"2015","5300480","Bethel School District","Washington","Asian","844"
"2015","5300480","Bethel School District","Washington","American Indian or Alaska Native","246"
"2015","5300480","Bethel School District","Washington","Native Hawaiian or other Pacific Islander","623"
"2015","5300480","Bethel School District","Washington","Two or more races","1885"
"2015","5300480","Bethel School District","Washington","Total","18941"
"2015","5300510","Bickleton School District","Washington","White","55"
"2015","5300510","Bickleton School District","Washington","Black","0"
"2015","5300510","Bickleton School District","Washington","Hispanic","28"
"2015","5300510","Bickleton School District","Washington","Asian","1"
"2015","5300510","Bickleton School District","Washington","American Indian or Alaska Native","0"
"2015","5300510","Bickleton School District","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300510","Bickleton School District","Washington","Two or more races","2"
"2015","5300510","Bickleton School District","Washington","Total","86"
"2015","5300570","Blaine School District","Washington","White","1686"
"2015","5300570","Blaine School District","Washington","Black","36"
"2015","5300570","Blaine School District","Washington","Hispanic","282"
"2015","5300570","Blaine School District","Washington","Asian","74"
"2015","5300570","Blaine School District","Washington","American Indian or Alaska Native","19"
"2015","5300570","Blaine School District","Washington","Native Hawaiian or other Pacific Islander","19"
"2015","5300570","Blaine School District","Washington","Two or more races","119"
"2015","5300570","Blaine School District","Washington","Total","2235"
"2015","5300630","Boistfort School District","Washington","White","85"
"2015","5300630","Boistfort School District","Washington","Black","0"
"2015","5300630","Boistfort School District","Washington","Hispanic","9"
"2015","5300630","Boistfort School District","Washington","Asian","0"
"2015","5300630","Boistfort School District","Washington","American Indian or Alaska Native","1"
"2015","5300630","Boistfort School District","Washington","Native Hawaiian or other Pacific Islander","0"
"2015","5300630","Boistfort School District","Washington","Two or more races","0"
"2015","5300630","Boistfort School District","Washington","Total","95"
"2015","5300660","Bremerton School District","Washington","White","2747"
"2015","5300660","Bremerton School District","Washington","Black","310"
"2015","5300660","Bremerton School District","Washington","Hispanic","964"
"2015","5300660","Bremerton School District","Washington","Asian","188"
"2015","5300660","Bremerton School District","Washington","American Indian or Alaska Native","57"
"2015","5300660","Bremerton School District","Washington","Native Hawaiian or other Pacific Islander","103"
"2015","5300660","Bremerton School District","Washington","Two or more races","818"
"2015","5300660","Bremerton School District","Washington","Total","5187"
"2015","5300690","Brewster School District","Washington","White","84"
"2015","5300690","Brewster School District","Washington","Black","1"
"2015","5300690","Brewster School District","Washington","Hispanic","898"
