"year","ncessch","school_name","state_name","lea_name","zip_location","latitude","longitude","county_code","school_level","school_type"
"2015","530000100376","Black Diamond Elementary","Washington","Enumclaw School District","98010","47.30973","-122.004781","53033","Primary","Regular school"
"2015","530000100377","Byron Kibler Elementary School","Washington","Enumclaw School District","98022","47.210768","-121.996719","53033","Primary","Regular school"
"2015","530000100379","Enumclaw Sr High School","Washington","Enumclaw School District","98022","47.190352","-122.006793","53033","High","Regular school"
"2015","530000100382","Southwood Elementary School","Washington","Enumclaw School District","98022","47.187505","-122.011684","53033","Primary","Regular school"
"2015","530000100383","Westwood Elementary School","Washington","Enumclaw School District","98022","47.229146","-122.057712","53033","Primary","Regular school"
"2015","530000100478","Sunrise Elementary","Washington","Enumclaw School District","98022","47.185549","-122.014946","53033","Primary","Regular school"
"2015","530000102054","Enumclaw Middle School","Washington","Enumclaw School District","98022","47.186979","-122.008112","53033","Middle","Regular school"
"2015","530000102795","Thunder Mountain Middle School","Washington","Enumclaw School District","98022","47.22306","-121.987581","53033","Middle","Regular school"
"2015","530000103038","Special Ed School","Washington","Enumclaw School District","98022","47.188196","-122.00657","53033","Other","Special education school"
"2015","530000200568","Inchelium High School","Washington","Inchelium School District","99138","48.301363","-118.198168","53019","High","Regular school"
"2015","530000202870","Inchelium Middle School","Washington","Inchelium School District","99138","48.301363","-118.198168","53019","Middle","Regular school"
"2015","530000202871","Inchelium Elementary School","Washington","Inchelium School District","99138","48.301363","-118.198168","53019","Primary","Regular school"
"2015","530000300167","Carrolls Elementary","Washington","Kelso School District","98626","46.07021","-122.866189","53015","Primary","Regular school"
"2015","530000300587","Barnes Elementary","Washington","Kelso School District","98626","46.159688","-122.907918","53015","Primary","Regular school"
"2015","530000300588","Beacon Hill Elementary","Washington","Kelso School District","98632","46.180315","-122.925884","53015","Primary","Regular school"
"2015","530000300589","Butler Acres Elementary","Washington","Kelso School District","98626","46.151319","-122.893873","53015","Primary","Regular school"
"2015","530000300590","Catlin Elementary","Washington","Kelso School District","98626","46.14884","-122.918521","53015","Primary","Regular school"
"2015","530000300591","Coweeman Middle School","Washington","Kelso School District","98626","46.143887","-122.888586","53015","Middle","Regular school"
"2015","530000300592","Huntington Middle School","Washington","Kelso School District","98626","46.154321","-122.904627","53015","Middle","Regular school"
"2015","530000300593","Kelso High School","Washington","Kelso School District","98626","46.143636","-122.892133","53015","High","Regular school"
