ID,Name,Address,Combined ,Lat,Long
0,,,,,
1,,,,,
2,,,,,
3,Big Finn Hill Park,NE 138th and Juanita Drive NE Kirkland WA 98028,"47.72417796430824, -122.2384511052857",47.72417796,-122.2384511
4,,,,,
5,,,,,
6,Boulevard Lane Park,127th Pl SE and SE 188th Pl Kent WA 98058,"47.43461253499171, -122.17134244306686",47.43461253,-122.1713424
7,,,,,
8,Bryn Mawr Park,118th St and 80th Ave S Renton WA 98059,"47.494412878186836, -122.24333452927827",47.49441288,-122.2433345
9,,,,,
10,Camelot Park,294 45th Pl S Federal Way WA 98001,"47.33936210003311, -122.27821151244274",47.3393621,-122.2782115
11,,,,,
12,,,,,
13,Cavanaugh Pond,"18015 SE Renton Maple Vlalley Hwy, Renton, 98058","47.46298605607068, -122.10206801923685",47.46298606,-122.102068
14,Cecil Moses Memorial Park,112th St and Pacific Hwy S Tukwila WA 98168,"47.504635773811124, -122.29806602370836",47.50463577,-122.298066
15,Cedar Downs Site,204th Ave SE and SE 248th St Maple Valley WA 98038,"47.38048421096501, -122.06987186585404",47.38048421,-122.0698719
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,Coalfield Park,SE 123rd St and 164th Ave SE Renton WA 98059,"47.49338958075172, -122.12231187371533",47.49338958,-122.1223119
21,,,,,
22,Cottage Lake Park,NE Woodinville-Duvall Rd and 188th NE Woodinville WA 98072,"47.756659452744806, -122.08616131163323",47.75665945,-122.0861613
23,Cougar Mountain Regional Wildland Park,18201 SE Cougar Mountain Dr Bellevue WA 98027,"47.544213070747325, -122.09788337368123",47.54421307,-122.0978834
24,Cougar/Squak Corridor,9951 Renton Issaquah Rd SE Issaquah WA 98027,"47.515243892655484, -122.0769900885142",47.51524389,-122.0769901
25,,,,,
26,Dick Thurnau Memorial Park,11050 10th Ave SW Seattle WA 98146,"47.504276688157766, -122.345286473708",47.50427669,-122.3452865
27,Dockton Beach Park,9500 SW Dock St Vashon WA 98070,"47.370934283006115, -122.45232202723538",47.37093428,-122.452322
28,,,,,
29,,,,,
30,Duthie Hill Park,26700 SE Issaquah Fall City Rd Issaquah WA 98027,"47.573440912286266, -121.98452478900536",47.57344091,-121.9845248
31,Duvall Park,13505 Carnation Duvall Rd Duvall WA 98019,"47.722592395281225, -121.98606241165616",47.7225924,-121.9860624
32,,,,,
33,,,,,
34,Ellis Creek Natural,SW Ellisport Rd and Dockton Rd SW Vashon WA 9807,"47.54392087333065, -122.31905833505658",47.54392087,-122.3190583
35,,,,,
36,,,,,
37,Fall City,4101 Fall City-Carnation Rd SE (State Rt. 203) Fall City WA 98024,"47.57051166537056, -121.88804649641438",47.57051167,-121.8880465
38,,,,,
39,Fall City Park West,36429 44th Ave S Auburn WA 98001,"47.27773579822649, -122.28131420454693",47.2777358,-122.2813142
