ID,Address,Combined ,Lat,Long
0,Auburn Black Diamond Rd and SE Green Valley Rd Auburn WA 98092,"47.301182311345315, -122.17491469179195",47.30118231,-122.1749147
1,NE 165th St and 179th Pl NE Redmond WA 98072,"47.74702351303733, -122.09810603412113",47.74702351,-122.098106
2,,,,
3,NE 138th and Juanita Drive NE Kirkland WA 98028,"47.72417796430824, -122.2384511052857",47.72417796,-122.2384511
4,S 284th Pl and 37th Ave S Federal Way WA 98003,"47.34814028865613, -122.2811067550002",47.34814029,-122.2811068
5,Maple Valley Black Diamond Rd and 241st Ave SE Black Diamond WA 98010,"47.33685401882282, -122.0131381391633",47.33685402,-122.0131381
6,127th Pl SE and SE 188th Pl Kent WA 98058,"47.43461253499171, -122.17134244306686",47.43461253,-122.1713424
7,NE 60th St and 132nd Ave NE to NE 60th St and W. Lake Sammamish Pkwy Redmond WA 98052,"47.65663788048972, -122.18484864882045",47.65663788,-122.1848486
8,118th St and 80th Ave S Renton WA 98059,"47.494412878186836, -122.24333452927827",47.49441288,-122.2433345
9,NE 145th St and 40th Ave NE to Bothell Way and 96th Ave NE Lake Forest Park WA 98155,"47.666351791342805, -122.30189643497422",47.66635179,-122.3018964
10,294 45th Pl S Federal Way WA 98001,"47.33936210003311, -122.27821151244274",47.3393621,-122.2782115
11,28500 SE Issaquah Fall City Rd Issaquah WA 98024,"47.57444352729198, -121.96088350434893",47.57444353,-121.9608835
12,733 W. Snoqualmie River Rd NE Carnation WA 98014,"47.61596158552304, -121.9354604270715",47.61596159,-121.9354604
13,"18015 SE Renton Maple Vlalley Hwy, Renton, 98058","47.46298605607068, -122.10206801923685",47.46298606,-122.102068
14,112th St and Pacific Hwy S Tukwila WA 98168,"47.504635773811124, -122.29806602370836",47.50463577,-122.298066
15,204th Ave SE and SE 248th St Maple Valley WA 98038,"47.38048421096501, -122.06987186585404",47.38048421,-122.0698719
16,18167 Cedar Grove Rd Renton WA 98038,"47.43958574858699, -122.06520917375126",47.43958575,-122.0652092
17,156th and 128th SE Renton WA 98055,"47.49265561406322, -122.21236906577869",47.49265561,-122.2123691
18,149th Ave SE and Maple Valley Hwy. to SE 253rd St and Landsburg Rd SE Maple Valley WA 98032,"47.38337051733296, -121.9722608032102",47.38337052,-121.9722608
19,310th Ave NE and Carnation Rd Carnation WA 98014,"47.670531249547615, -121.92333439634719",47.67053125,-121.9233344
20,SE 123rd St and 164th Ave SE Renton WA 98059,"47.49338958075172, -122.12231187371533",47.49338958,-122.1223119
21,180th Ave NE and Woodinville Duvall Road Woodinville WA 98072,"47.761095654303666, -122.0987597269739",47.76109565,-122.0987597
22,NE Woodinville-Duvall Rd and 188th NE Woodinville WA 98072,"47.756659452744806, -122.08616131163323",47.75665945,-122.0861613
23,18201 SE Cougar Mountain Dr Bellevue WA 98027,"47.544213070747325, -122.09788337368123",47.54421307,-122.0978834
24,9951 Renton Issaquah Rd SE Issaquah WA 98027,"47.515243892655484, -122.0769900885142",47.51524389,-122.0769901
25,29006 196th Ave SE Covington WA 980429227,"47.3420497969182, -122.08060300450401",47.3420498,122.080603
26,11050 10th Ave SW Seattle WA 98146,"47.504276688157766, -122.345286473708",47.50427669,-122.3452865
27,9500 SW Dock St Vashon WA 98070,"47.370934283006115, -122.45232202723538",47.37093428,-122.452322
28,SW 260th St and 86th Ave SW Vashon WA 98070,"47.37100849272471, -122.4541468774927",47.37100849,-122.4541469
29,91st Ave SW & SW 260th St Vashon WA 98070,"47.37135041272399, -122.44626996585974",47.37135041,-122.44627
30,26700 SE Issaquah Fall City Rd Issaquah WA 98027,"47.573440912286266, -121.98452478900536",47.57344091,-121.9845248
31,13505 Carnation Duvall Rd Duvall WA 98019,"47.722592395281225, -121.98606241165616",47.7225924,-121.9860624
32,NE Redmond Way and Avondale Rd NE to Rainier Blvd N and NW Gilman Blvd Sammamish WA 98029,"47.60592099090328, -122.07679466570279",47.60592099,-122.0767947
33,216th Ave SE and SE 43rd Way to SE Klahanie Blvd and Issaquah Pine Lake Rd SE Sammamish WA 98029,"47.73182283575485, -122.25340133493077",47.73182284,-122.2534013
34,SW Ellisport Rd and Dockton Rd SW Vashon WA 9807,"47.54392087333065, -122.31905833505658",47.54392087,-122.3190583
35,196th NE and NE 60th Redmond WA 98052,"47.683790581109186, -122.08227963971875",47.68379058,-122.0822796
36,205th Pl NE and NE 47th St Sammamish WA 98053,"47.6807532622956, -122.08426726565264",47.68075326,-122.0842673
37,4101 Fall City-Carnation Rd SE (State Rt. 203) Fall City WA 98024,"47.57051166537056, -121.88804649641438",47.57051167,-121.8880465
38,3000 Block of Neal Road SE Fall City WA 98024,"47.57600328676363, -121.89138620434731",47.57600329,-121.8913862
39,36429 44th Ave S Auburn WA 98001,"47.27773579822649, -122.28131420454693",47.2777358,-122.2813142
40,228th Pl SE and SE Green Valley Rd Auburn WA 98092,"47.280839722864094, -122.04201675057584",47.28083972,-122.0420168
41,SE 392nd St and Veazie Cumberland Rd to 239th Ave SE and Hwy 410 Enumclaw WA 98022,"47.12808543045511, -122.13348200464662",47.12808543,-122.133482
