ID,First,Last ,Combined ,Lat,Long
0,3720 Montlake Blvd NE,"Seattle, WA 98195","47.65063765207041, -122.3034815275784",47.65063765,-122.3034815
1,140 Broadway E.,"Seattle, WA 98102","47.620295132641274, -122.32039926569307",47.62029513,-122.3203993
2,4th Ave & Pine St.,"Seattle, WA 98101","47.61172143700445, -122.33791664241821",47.61172144,-122.3379166
3,3rd Ave Seneca St,"Seattle, WA 98101","47.60769721299515, -122.33526781967035",47.60769721,-122.3352678
4,3rd Ave & James St,"Seattle, WA 98104","47.60334639313135, -122.33132370432948",47.60334639,-122.3313237
5,5th Ave & S. Jackson St.,"Seattle, WA 98104","47.59971062249751, -122.32921651808473",47.59971062,-122.3292165
6,501 S. Royal Brougham Way,"Seattle, WA 98134","47.59182863504251, -122.32666160433651",47.59182864,-122.3266616
7,500 S Lander St,"Seattle, WA 98134","47.58111332900611, -122.32675267365673",47.58111333,-122.3267527
8,2702 Beacon Ave S,"Seattle, WA 98144","47.57962190411406, -122.31247753450248",47.5796219,-122.3124775
9,Rainier Ave S & S Forest St,"Seattle, WA 98144","47.57832757146107, -122.29772059640906",47.57832757,-122.2977206
10,4818 Martin Luther King Jr Way S.,"Seattle, WA 98108","47.55990439436221, -122.29221848901415",47.55990439,-122.2922185
11,7100 Martin Luther King Jr Way S,"Seattle, WA 98118","47.53957298729273, -122.28156849643511",47.53957299,-122.2815685
12,9132 Martin Luther King Jr Way S,"Seattle, WA 98118","47.521569270903456, -122.27945266575944",47.52156927,-122.2794527
13,3651 Southcenter Blvd,"Tukwila, WA 98188","47.465597028359625, -122.28717052717218",47.46559703,-122.2871705
14,International Blvd & S 176th St,"SeaTac, WA 98188","47.44599577171833, -122.29656391184133",47.44599577,-122.2965639
15,19955 28th Ave South,"SeaTac, WA 98188","47.42381676113842, -122.29795486582488",47.42381676,-122.2979549
