,price,sqft_living,grade,lat,long,min_dist_park,closest_distance_to_top_school,closest_distance_to_great_coffee,closest_distance_to_scientology,log_school,log_coffee,log_scientology,log_park,min_dist_park_rv
0,221900,1180,7,47.5112,-122.257,2.038307294,0.26186714,4.95017385,12.70503555,-1.339918003,1.599422697,2.541998415,0.712119706,1.26662
1,538000,2570,7,47.721,-122.319,5.05205771,0.682376962,14.81316778,10.80033833,-0.382173043,2.6955165,2.37957746,1.619795628,3.52051
2,180000,770,6,47.7379,-122.233,1.337990461,2.002999624,10.62718232,10.83821987,0.694645869,2.363415088,2.383078764,0.291168833,0.83144
3,604000,1960,7,47.5208,-122.393,2.448557144,1.729430913,14.47652236,11.54717687,0.547792402,2.67252819,2.44644098,0.89549893,1.52156
4,510000,1680,8,47.6168,-122.045,2.672831699,1.179254506,8.214908838,21.18201622,0.164882464,2.105950654,3.05315253,0.983138472,2.31352
6,257500,1715,7,47.3097,-122.327,5.39505599,15.83556242,16.57835236,33.9545577,2.762258197,2.80809777,3.525023092,1.685482977,2.62574
7,291850,1060,7,47.4095,-122.315,0.503511032,10.40964915,7.910705969,22.87677954,2.342733179,2.068217028,3.130122402,-0.686149656,4.54968
8,229500,1780,7,47.5123,-122.337,2.091488917,1.537208524,10.1948363,11.4482453,0.429968125,2.321881347,2.43783647,0.737876213,0.31289
9,323000,1890,7,47.3684,-122.031,5.146490765,0.847291263,16.30057105,35.33838835,-0.165710768,2.791200141,3.564969862,1.638315078,2.00144
10,662500,3560,8,47.6007,-122.145,2.731948504,1.099959179,2.332079988,13.78044244,0.095273069,0.846760568,2.623250372,1.005015092,4.47869
11,468000,1160,7,47.69,-122.292,3.230677681,0.598800267,10.90652045,8.748762283,-0.51282718,2.389360817,2.168912237,1.172691924,3.43172
12,310000,1430,7,47.7558,-122.229,2.499864939,3.981486214,11.72746517,9.470253774,1.38165517,2.461933541,2.248155704,0.916236706,2.01549
13,400000,1370,7,47.6127,-122.045,6.908751909,1.163833001,7.997842503,21.18358845,0.151718869,2.079171818,3.053226752,1.932789,2.321
14,530000,1810,7,47.67,-122.394,5.192132008,0.299514931,16.26246679,5.843131277,-1.205591011,2.788859802,1.765266831,1.647144404,8.05746
15,650000,2950,9,47.5714,-122.375,1.887334758,1.027202146,14.88771172,5.764834381,0.026838743,2.700536156,1.751776425,0.635165653,3.22644
16,395000,1890,7,47.7277,-121.962,3.082874788,5.897000279,12.95837957,28.2602942,1.774443794,2.56174265,3.341457788,1.125862535,1.17281
17,485000,1600,7,47.6648,-122.343,2.601886328,0.579094679,12.49818573,4.906281071,-0.546289294,2.525583492,1.590516235,0.956236693,6.36212
18,189000,1200,7,47.3089,-122.21,2.11483092,12.24741636,14.59711079,35.17230231,2.505315005,2.680823618,3.560258907,0.748974866,3.26634
19,230000,1250,7,47.3343,-122.306,4.972418333,15.00913263,13.41857778,31.26123362,2.708658858,2.596640148,3.442378787,1.603906308,1.34743
20,385000,1620,7,47.7025,-122.341,2.822163177,0.28788413,14.56155081,9.034226804,-1.245197207,2.678384549,2.201020342,1.037503675,4.84971
22,285000,2270,8,47.3266,-122.169,1.954876892,8.758556935,13.1811863,34.21842109,2.170031158,2.578790533,3.532764127,0.670327221,3.36683
23,252700,1070,7,47.3533,-122.166,3.101054698,6.430871222,10.4624209,31.53742085,1.861110022,2.347789876,3.451174804,1.131742279,2.47414
24,329000,2450,8,47.3739,-122.172,5.00342347,5.708916373,8.189677366,29.25258121,1.742029229,2.102874503,3.375967816,1.610122372,1.21478
25,233000,1710,6,47.3048,-122.218,3.189425942,12.99185315,15.03432924,35.46934591,2.56432248,2.710336203,3.568668828,1.159840945,2.8248
27,667000,1400,8,47.6221,-122.314,2.168846433,0.380005595,9.296600095,1.284065732,-0.967569303,2.229648752,0.250031397,0.774195429,5.40713
28,438000,1520,7,47.695,-122.304,7.764055025,0.631459019,11.93526632,9.062694571,-0.459722234,2.479497573,2.20416649,2.049504753,3.62003
29,719000,2570,8,47.7073,-122.11,5.257445873,0.811724086,3.126531243,19.25411184,-0.208594792,1.139924161,2.95772464,1.659645333,1.12033
