,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,starbucks-north-bend-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.487358, 'longitude': -121.793458}",(425) 888-0808,6506.011658080523,dZ1uwsX1AmFrNqwL1dzpvw,https://s3-media3.fl.yelpcdn.com/bphoto/UqAUJqQQQFdm39TnrJpUOQ/o.jpg,False,"{'address1': '721 SW Mt Si Blvd', 'address2': 'B', 'address3': None, 'city': 'North Bend', 'zip_code': '98045', 'country': 'US', 'state': 'WA', 'display_address': ['721 SW Mt Si Blvd', 'B', 'North Bend, WA 98045']}",Starbucks,+14258880808,$$,2.0,63,[],https://www.yelp.com/biz/starbucks-north-bend-4?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
1,starbucks-north-bend-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.48758, 'longitude': -121.791667}",(425) 831-2122,6533.595096622432,UMRWwHuQQ5TlNqEMUB3k7w,https://s3-media3.fl.yelpcdn.com/bphoto/VqC0DehBlG7yla3r3r2wlA/o.jpg,False,"{'address1': '460 SW Mt Si Blvd', 'address2': '', 'address3': 'Safeway', 'city': 'North Bend', 'zip_code': '98045', 'country': 'US', 'state': 'WA', 'display_address': ['460 SW Mt Si Blvd', 'Safeway', 'North Bend, WA 98045']}",Starbucks,+14258312122,,1.0,1,[],https://www.yelp.com/biz/starbucks-north-bend-3?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
2,starbucks-north-bend-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.493281, 'longitude': -121.780839}",(425) 888-1682,7236.7355300993495,3b5sM8D9kXj8TLDqUSTpMQ,https://s3-media2.fl.yelpcdn.com/bphoto/P6m5saZHP_M3FT2ST3xe1g/o.jpg,False,"{'address1': '460 E North Bend Way', 'address2': '', 'address3': 'QFC', 'city': 'North Bend', 'zip_code': '98045', 'country': 'US', 'state': 'WA', 'display_address': ['460 E North Bend Way', 'QFC', 'North Bend, WA 98045']}",Starbucks,+14258881682,$$,4.0,6,[],https://www.yelp.com/biz/starbucks-north-bend-5?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
3,starbucks-snoqualmie-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.527267, 'longitude': -121.873921}",(425) 831-0376,12467.59513006848,x82sLgDCNycE1cySsPfLSw,https://s3-media1.fl.yelpcdn.com/bphoto/d4II1qk9DGloO3tmGKFo5Q/o.jpg,False,"{'address1': '34812 SE Douglas St', 'address2': None, 'address3': 'Safeway', 'city': 'Snoqualmie', 'zip_code': '98065', 'country': 'US', 'state': 'WA', 'display_address': ['34812 SE Douglas St', 'Safeway', 'Snoqualmie, WA 98065']}",Starbucks,+14258310376,,5.0,1,[],https://www.yelp.com/biz/starbucks-snoqualmie-4?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
4,starbucks-snoqualmie-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.530214, 'longitude': -121.871708}",(425) 295-5572,12679.079482007928,jzPIfDoPHEbOr89Z7fb7MQ,https://s3-media2.fl.yelpcdn.com/bphoto/-zJyO0W5Cbp79vScC8b7iw/o.jpg,False,"{'address1': '34817 Snoqualmie Pkwy', 'address2': '', 'address3': None, 'city': 'Snoqualmie', 'zip_code': '98065', 'country': 'US', 'state': 'WA', 'display_address': ['34817 Snoqualmie Pkwy', 'Snoqualmie, WA 98065']}",Starbucks,+14252955572,$$,3.5,12,[],https://www.yelp.com/biz/starbucks-snoqualmie-3?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
5,starbucks-snoqualmie-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.5301958056284, 'longitude': -121.871674379133}",(425) 396-0646,12676.124317473308,5-0CPBynxb_FarBxoA8Ahg,https://s3-media4.fl.yelpcdn.com/bphoto/4Qdh9z_VseCI44clVrJbRw/o.jpg,False,"{'address1': '7730 Center Blvd SE', 'address2': 'A', 'address3': None, 'city': 'Snoqualmie', 'zip_code': '98065', 'country': 'US', 'state': 'WA', 'display_address': ['7730 Center Blvd SE', 'A', 'Snoqualmie, WA 98065']}",Starbucks,+14253960646,$,2.5,35,[],https://www.yelp.com/biz/starbucks-snoqualmie-2?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
6,starbucks-maple-valley-6,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.360082, 'longitude': -122.018634}",(425) 432-2020,18527.844448982447,UikRPr42xvnSkAYz7c-uSg,https://s3-media2.fl.yelpcdn.com/bphoto/FYC_5mqWFjveQeUIiEP6MA/o.jpg,False,"{'address1': '26916 Maple Valley Hwy', 'address2': None, 'address3': 'Safeway', 'city': 'Maple Valley', 'zip_code': '98038', 'country': 'US', 'state': 'WA', 'display_address': ['26916 Maple Valley Hwy', 'Safeway', 'Maple Valley, WA 98038']}",Starbucks,+14254322020,,4.0,1,[],https://www.yelp.com/biz/starbucks-maple-valley-6?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
7,starbucks-maple-valley-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.360385, 'longitude': -122.020308}",(425) 413-4110,18628.85226652075,SM-UipVoxDKwH4mB9KWR0g,https://s3-media3.fl.yelpcdn.com/bphoto/1U0jOo2e5-BDudkeUxabrw/o.jpg,False,"{'address1': '26910 Maple Valley Hwy  #J', 'address2': '', 'address3': '', 'city': 'Maple Valley', 'zip_code': '98038', 'country': 'US', 'state': 'WA', 'display_address': ['26910 Maple Valley Hwy  #J', 'Maple Valley, WA 98038']}",Starbucks,+14254134110,$,3.0,41,['delivery'],https://www.yelp.com/biz/starbucks-maple-valley-2?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
8,starbucks-maple-valley-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.388153, 'longitude': -122.041398}",(206) 833-7318,19127.842764583245,iTVO8r5rzBh9xdv_E7Xe7Q,https://s3-media1.fl.yelpcdn.com/bphoto/VWvw6LBq7_OAXxCJD4x40Q/o.jpg,False,"{'address1': '23818 225th Ave SE', 'address2': 'Ste 106', 'address3': None, 'city': 'Maple Valley', 'zip_code': '98038', 'country': 'US', 'state': 'WA', 'display_address': ['23818 225th Ave SE', 'Ste 106', 'Maple Valley, WA 98038']}",Starbucks,+12068337318,$$,5.0,3,[],https://www.yelp.com/biz/starbucks-maple-valley-4?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
9,starbucks-maple-valley-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.388138, 'longitude': -122.045267}",(425) 432-9961,19411.24371293094,pwfJINhH_EOQnjem_J4gQQ,https://s3-media1.fl.yelpcdn.com/bphoto/aDk-UK9cU4KHd1V85SKQ_Q/o.jpg,False,"{'address1': '22131 SE 237th', 'address2': '', 'address3': 'QFC', 'city': 'Maple Valley', 'zip_code': '98038', 'country': 'US', 'state': 'WA', 'display_address': ['22131 SE 237th', 'QFC', 'Maple Valley, WA 98038']}",Starbucks,+14254329961,$,4.5,12,['delivery'],https://www.yelp.com/biz/starbucks-maple-valley-5?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
