,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,lat,long
1,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,98125,47.721000000000004,-122.319
2,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,98028,47.7379,-122.23299999999999
3,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,98136,47.5208,-122.39299999999999
4,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,98074,47.6168,-122.045
5,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,98053,47.6561,-122.005
6,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,98003,47.3097,-122.32700000000001
8,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,98146,47.5123,-122.337
9,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,98038,47.3684,-122.031
11,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,98115,47.69,-122.292
12,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,98028,47.7558,-122.229
13,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,98074,47.6127,-122.045
14,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,98107,47.67,-122.39399999999999
15,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,98126,47.5714,-122.375
16,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,98019,47.7277,-121.962
17,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,98103,47.6648,-122.34299999999999
18,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,98002,47.3089,-122.21
19,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,98003,47.3343,-122.306
20,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,98133,47.7025,-122.34100000000001
21,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,98040,47.5316,-122.23299999999999
22,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,98092,47.3266,-122.169
24,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,98030,47.3739,-122.17200000000001
25,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,98002,47.3048,-122.21799999999999
26,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,98119,47.6386,-122.36
27,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,98112,47.6221,-122.314
28,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,98115,47.695,-122.304
29,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,98052,47.7073,-122.11
30,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,98027,47.5391,-122.07
31,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,98133,47.7274,-122.35700000000001
32,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,98117,47.6823,-122.368
33,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,98117,47.6889,-122.375
34,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,98058,47.4276,-122.15700000000001
35,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,98115,47.6827,-122.31
36,550000.0,4,1.0,1660,34848,1.0,0.0,0.0,1,5,98052,47.6621,-122.132
37,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,98107,47.6702,-122.36200000000001
38,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,98001,47.3341,-122.28200000000001
39,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,98056,47.5301,-122.18
41,775000.0,4,2.25,4220,24186,1.0,0.0,0.0,3,8,98166,47.445,-122.34700000000001
42,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,98053,47.6848,-122.016
43,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,98119,47.6413,-122.36399999999999
44,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,98058,47.4485,-122.175
45,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,3,8,98019,47.7443,-121.977
46,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,98023,47.3066,-122.37100000000001
47,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,98007,47.6194,-122.15100000000001
48,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,98115,47.6796,-122.301
49,1350000.0,3,2.5,2753,65005,1.0,1.0,2.0,5,9,98070,47.4041,-122.45100000000001
50,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,98148,47.4258,-122.322
51,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,98056,47.4934,-122.189
52,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,98117,47.6808,-122.384
53,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,98117,47.6989,-122.369
54,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,98105,47.6571,-122.281
56,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,98042,47.3663,-122.11399999999999
57,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,98042,47.3663,-122.12200000000001
58,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,4,8,98008,47.588,-122.116
59,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,98059,47.5059,-122.149
