,price,sqft_living,grade,lat,long,price_sqft,price_sqft_transformed,min_dist_park,closest_distance_to_top_school,closest_distance_to_scientology
0,221900.0,-1.072972882447744,7,47.5112,-122.257,188.05084745762713,-0.5549251466774054,-0.6246411864143065,-1.6152716578493371,-0.21978381956093535
1,538000.0,0.8266977298382983,7,47.721000000000004,-122.319,209.3385214007782,-0.30341342903893287,0.5484497680673855,-0.49327981528014947,-0.3796931312816256
2,180000.0,-2.1079532317500678,6,47.7379,-122.23299999999999,233.76623376623377,-0.04104351905522288,-1.1112958327195206,0.3924621371597106,-0.3739621685812844
3,604000.0,0.12958231367213702,7,47.5208,-122.39299999999999,308.16326530612247,0.6986007439316579,-0.4142198472348193,0.3184502925267183,-0.3154748077983433
4,510000.0,-0.23550884598922833,8,47.6168,-122.045,303.57142857142856,0.6610851025355774,0.05235577259623127,0.08164328916382906,0.37819043478260234
6,257500.0,-0.18931001061841743,7,47.3097,-122.32700000000001,150.14577259475217,-1.1645089061520508,0.9202958524278374,1.902157016200536,1.1749557472848036
7,291850.0,-1.3100166880582473,7,47.4095,-122.315,275.3301886792453,0.3879125456545604,-1.9889146087775176,1.2862859287553805,0.4847766562618431
8,229500.0,-0.10179559909470504,7,47.5123,-122.337,128.93258426966293,-1.6548937740248266,-0.1100424837865129,0.25488982802194693,-0.3233645641760756
9,323000.0,0.043924024540264145,7,47.3684,-122.031,170.8994708994709,-0.8002607067173253,0.8926246579941776,-0.24778794058486536,1.357287339413276
10,662500.0,1.7986625770167266,8,47.6007,-122.145,186.09550561797752,-0.5790994119578993,0.5126806655968938,0.02378042174500034,-0.12417650367233571
11,468000.0,-1.1117020775386441,7,47.69,-122.292,403.44827586206895,1.420857967341378,-0.10316650106071729,-0.6727658832076602,-0.6450166745136964
12,310000.0,-0.6195781807120453,7,47.7558,-122.229,216.78321678321677,-0.22448033314449098,0.05647979459562521,0.6995868256230133,-0.5452753666611541
13,400000.0,-0.7184619962535121,7,47.6127,-122.045,291.97080291970804,0.5593435819219703,2.377486677065466,0.07138374445588451,0.3783482764580936
14,530000.0,-0.05774223145986299,7,47.67,-122.39399999999999,292.81767955801104,0.5684985571665516,0.4396550110289419,-1.5013018154955673,-1.2529932447639474
15,650000.0,1.202346703289829,9,47.5714,-122.375,220.33898305084745,-0.18707868716856665,-0.7198189762630507,-0.04439356991894705,-1.2723812502963774
16,395000.0,0.043924024540264145,7,47.7277,-121.962,208.994708994709,-0.3077739660423732,1.4486718378884662,0.9314717743125561,0.8166458195499896
17,485000.0,-0.3521513969789328,7,47.6648,-122.34299999999999,303.125,0.6572623097025727,0.45381438494653703,-0.7093584814682483,-1.4207985107711627
18,189000.0,-1.0379371869749336,7,47.3089,-122.21,157.5,-1.0206470122963325,-0.54964047732485,1.3728533815036597,1.3305096328074901
19,230000.0,-0.9358520864464077,7,47.3343,-122.306,184.0,-0.6054449899925677,1.0286692029812454,1.7679066141745916,0.9589326669066973
20,385000.0,-0.3229319925266089,7,47.7025,-122.34100000000001,237.65432098765433,-0.0003730484054734622,0.48891168699453963,-1.5297377815624902,-0.6094510414644181
22,285000.0,0.49780907548583325,8,47.3266,-122.169,125.55066079295155,-1.738916539333095,-0.6769463733784854,1.1862151115294797,1.2065538566437364
